id;name;code;level;supergroup;supergroup_id;deepest level?
429;Right triceps brachii;Musc[3-1-3-5];5;Muscles of right upper arm;424;1
430;Muscles of right forearm;Musc[3-1-4];4;Muscles of right upper limb;403;0
431;Flexor muscles of right forearm;Musc[3-1-4-1];5;Muscles of right forearm;430;0
432;Right flexor carpi radialis;Musc[3-1-4-1-1];6;Flexor muscles of right forearm;431;1
433;Right palmaris longus;Musc[3-1-4-1-2];6;Flexor muscles of right forearm;431;1
434;Right pronator teres;Musc[3-1-4-1-3];6;Flexor muscles of right forearm;431;1
435;Right flexor digitorum superficialis;Musc[3-1-4-1-4];6;Flexor muscles of right forearm;431;1
436;Right flexor pollicis longus;Musc[3-1-4-1-5];6;Flexor muscles of right forearm;431;1
437;Right flexor digitorum profundus;Musc[3-1-4-1-6];6;Flexor muscles of right forearm;431;1
438;Right pronator quadratus;Musc[3-1-4-1-7];6;Flexor muscles of right forearm;431;1
439;Right flexor carpi ulnaris;Musc[3-1-4-1-8];6;Flexor muscles of right forearm;431;1
440;Extensor muscles of right forearm;Musc[3-1-4-2];5;Muscles of right forearm;430;0
441;Right brachioradialis;Musc[3-1-4-2-1];6;Extensor muscles of right forearm;440;1
442;Right extensor carpi radialis longus;Musc[3-1-4-2-2];6;Extensor muscles of right forearm;440;1
443;Right extensor carpi radialis brevis;Musc[3-1-4-2-3];6;Extensor muscles of right forearm;440;1
444;Right extensor carpi ulnaris;Musc[3-1-4-2-4];6;Extensor muscles of right forearm;440;1
445;Right anconeus;Musc[3-1-4-2-5];6;Extensor muscles of right forearm;440;1
446;Right abductor pollicis longus;Musc[3-1-4-2-6];6;Extensor muscles of right forearm;440;1
447;Right extensor pollicis longus;Musc[3-1-4-2-7];6;Extensor muscles of right forearm;440;1
448;Right extensor pollicis brevis;Musc[3-1-4-2-8];6;Extensor muscles of right forearm;440;1
449;Right extensor indicis;Musc[3-1-4-2-9];6;Extensor muscles of right forearm;440;1
450;Right extensor digiti minimi;Musc[3-1-4-2-10];6;Extensor muscles of right forearm;440;1
451;Right extensor digitorum;Musc[3-1-4-2-11];6;Extensor muscles of right forearm;440;1
452;Right supinator;Musc[3-1-4-2-12];6;Extensor muscles of right forearm;440;1
453;Muscles of right hand;Musc[3-1-5];4;Muscles of right upper limb;403;0
454;Palmar muscles of right hand;Musc[3-1-5-1];5;Muscles of right hand;453;0
455;Thenar muscles of right hand;Musc[3-1-5-1-1];6;Palmar muscles of right hand;454;0
456;Right abductor pollicis brevis;Musc[3-1-5-1-1-1];7;Thenar muscles of right hand;455;1
457;Right flexor pollicis brevis;Musc[3-1-5-1-1-2];7;Thenar muscles of right hand;455;1
458;Right adductor pollicis;Musc[3-1-5-1-1-3];7;Thenar muscles of right hand;455;1
459;Right opponens pollicis;Musc[3-1-5-1-1-4];7;Thenar muscles of right hand;455;1
460;Hypothenar muscles of right hand;Musc[3-1-5-1-2];6;Palmar muscles of right hand;454;0
461;Right flexor digiti minimi brevis of hand;Musc[3-1-5-1-2-1];7;Hypothenar muscles of right hand;460;1
462;Right opponens digiti minimi;Musc[3-1-5-1-2-2];7;Hypothenar muscles of right hand;460;1
463;Right abductor digiti minimi;Musc[3-1-5-1-2-3];7;Hypothenar muscles of right hand;460;1
464;Right palmaris brevis;Musc[3-1-5-1-2-4];7;Hypothenar muscles of right hand;460;1
465;Palmar interosseous muscles of right hand;Musc[3-1-5-1-3];6;Palmar muscles of right hand;454;0
466;First palmar interosseous muscle of right hand;Musc[3-1-5-1-3-1];7;Palmar interosseous muscles of right hand;465;1
467;Second palmar interosseous muscle of right hand;Musc[3-1-5-1-3-2];7;Palmar interosseous muscles of right hand;465;1
468;Third palmar interosseous muscle of right hand;Musc[3-1-5-1-3-3];7;Palmar interosseous muscles of right hand;465;1
469;Lumbrical muscles of right hand;Musc[3-1-5-1-4];6;Palmar muscles of right hand;454;0
470;First lumbrical muscle of right hand;Musc[3-1-5-1-4-1];7;Lumbrical muscles of right hand;469;1
471;Second lumbrical muscle of right hand;Musc[3-1-5-1-4-2];7;Lumbrical muscles of right hand;469;1
472;Third lumbrical muscle of right hand;Musc[3-1-5-1-4-3];7;Lumbrical muscles of right hand;469;1
473;Fourth lumbrical muscle of right hand;Musc[3-1-5-1-4-4];7;Lumbrical muscles of right hand;469;1
474;Dorsal interosseous muscles of right hand;Musc[3-1-5-2];5;Muscles of right hand;453;0
475;First dorsal interosseous muscle of right hand;Musc[3-1-5-2-1];6;Dorsal interosseous muscles of right hand;474;1
476;Second dorsal interosseous muscle of right hand;Musc[3-1-5-2-2];6;Dorsal interosseous muscles of right hand;474;1
477;Third dorsal interosseous muscle of right hand;Musc[3-1-5-2-3];6;Dorsal interosseous muscles of right hand;474;1
478;Fourth dorsal interosseous muscle of right hand;Musc[3-1-5-2-4];6;Dorsal interosseous muscles of right hand;474;1
479;Muscles of left upper limb;Musc[3-2];3;Muscles of upper limb;402;0
480;Muscles of left pectoral girdle;Musc[3-2-1];4;Muscles of left upper limb;479;0
481;Left subclavius;Musc[3-2-1-1];5;Muscles of left pectoral girdle;480;1
482;Left pectoralis minor;Musc[3-2-1-2];5;Muscles of left pectoral girdle;480;1
483;Left pectoralis major;Musc[3-2-1-3];5;Muscles of left pectoral girdle;480;1
484;Muscles of left shoulder;Musc[3-2-2];4;Muscles of left upper limb;479;0
485;Superficial muscles of left shoulder;Musc[3-2-2-1];5;Muscles of left shoulder;484;0
486;Left trapezius;Musc[3-2-2-1-1];6;Superficial muscles of left shoulder;485;1
487;Left deltoid;Musc[3-2-2-1-2];6;Superficial muscles of left shoulder;485;1
488;Left latissimus dorsi;Musc[3-2-2-1-3];6;Superficial muscles of left shoulder;485;1
489;Muscles of left rotator cuff;Musc[3-2-2-2];5;Muscles of left shoulder;484;0
490;Left infraspinatus;Musc[3-2-2-2-1];6;Muscles of left rotator cuff;489;1
491;Left teres minor;Musc[3-2-2-2-2];6;Muscles of left rotator cuff;489;1
492;Left supraspinatus;Musc[3-2-2-2-3];6;Muscles of left rotator cuff;489;1
493;Left subscapularis;Musc[3-2-2-2-4];6;Muscles of left rotator cuff;489;1
494;Deep muscles of left shoulder;Musc[3-2-2-3];5;Muscles of left shoulder;484;0
495;Left levator scapulae;Musc[3-2-2-3-1];6;Deep muscles of left shoulder;494;1
496;Left rhomboid minor;Musc[3-2-2-3-2];6;Deep muscles of left shoulder;494;1
497;Left rhomboid major;Musc[3-2-2-3-3];6;Deep muscles of left shoulder;494;1
498;Left serratus anterior;Musc[3-2-2-3-4];6;Deep muscles of left shoulder;494;1
499;Left teres major;Musc[3-2-2-3-5];6;Deep muscles of left shoulder;494;1
500;Muscles of left upper arm;Musc[3-2-3];4;Muscles of left upper limb;479;0
501;Left biceps brachii;Musc[3-2-3-1];5;Muscles of left upper arm;500;1
502;Left bicipital aponeurosis;Musc[3-2-3-2];5;Muscles of left upper arm;500;1
503;Left brachialis;Musc[3-2-3-3];5;Muscles of left upper arm;500;1
504;Left coracobrachialis;Musc[3-2-3-4];5;Muscles of left upper arm;500;1
505;Left triceps brachii;Musc[3-2-3-5];5;Muscles of left upper arm;500;1
506;Muscles of left forearm;Musc[3-2-4];4;Muscles of left upper limb;479;0
507;Flexor muscles of left forearm;Musc[3-2-4-1];5;Muscles of left forearm;506;0
508;Left flexor carpi radialis;Musc[3-2-4-1-1];6;Flexor muscles of left forearm;507;1
509;Left palmaris longus;Musc[3-2-4-1-2];6;Flexor muscles of left forearm;507;1
510;Left pronator teres;Musc[3-2-4-1-3];6;Flexor muscles of left forearm;507;1
511;Left flexor digitorum superficialis;Musc[3-2-4-1-4];6;Flexor muscles of left forearm;507;1
512;Left flexor pollicis longus;Musc[3-2-4-1-5];6;Flexor muscles of left forearm;507;1
513;Left flexor digitorum profundus;Musc[3-2-4-1-6];6;Flexor muscles of left forearm;507;1
514;Left pronator quadratus;Musc[3-2-4-1-7];6;Flexor muscles of left forearm;507;1
515;Left flexor carpi ulnaris;Musc[3-2-4-1-8];6;Flexor muscles of left forearm;507;1
516;Extensor muscles of left forearm;Musc[3-2-4-2];5;Muscles of left forearm;506;0
517;Left brachioradialis;Musc[3-2-4-2-1];6;Extensor muscles of left forearm;516;1
518;Left extensor carpi radialis longus;Musc[3-2-4-2-2];6;Extensor muscles of left forearm;516;1
519;Left extensor carpi radialis brevis;Musc[3-2-4-2-3];6;Extensor muscles of left forearm;516;1
520;Left extensor carpi ulnaris;Musc[3-2-4-2-4];6;Extensor muscles of left forearm;516;1
521;Left anconeus;Musc[3-2-4-2-5];6;Extensor muscles of left forearm;516;1
522;Left abductor pollicis longus;Musc[3-2-4-2-6];6;Extensor muscles of left forearm;516;1
523;Left extensor pollicis longus;Musc[3-2-4-2-7];6;Extensor muscles of left forearm;516;1
524;Left extensor pollicis brevis;Musc[3-2-4-2-8];6;Extensor muscles of left forearm;516;1
525;Left extensor indicis;Musc[3-2-4-2-9];6;Extensor muscles of left forearm;516;1
526;Left extensor digiti minimi;Musc[3-2-4-2-10];6;Extensor muscles of left forearm;516;1
527;Left extensor digitorum;Musc[3-2-4-2-11];6;Extensor muscles of left forearm;516;1
528;Left supinator;Musc[3-2-4-2-12];6;Extensor muscles of left forearm;516;1
529;Muscles of left hand;Musc[3-2-5];4;Muscles of left upper limb;479;0
530;Palmar muscles of left hand;Musc[3-2-5-1];5;Muscles of left hand;529;0
531;Thenar muscles of left hand;Musc[3-2-5-1-1];6;Palmar muscles of left hand;530;0
532;Left abductor pollicis brevis;Musc[3-2-5-1-1-1];7;Thenar muscles of left hand;531;1
533;Left flexor pollicis brevis;Musc[3-2-5-1-1-2];7;Thenar muscles of left hand;531;1
534;Left adductor pollicis;Musc[3-2-5-1-1-3];7;Thenar muscles of left hand;531;1
535;Left opponens pollicis;Musc[3-2-5-1-1-4];7;Thenar muscles of left hand;531;1
536;Hypothenar muscles of left hand;Musc[3-2-5-1-2];6;Palmar muscles of left hand;530;0
537;Left flexor digiti minimi brevis of hand;Musc[3-2-5-1-2-1];7;Hypothenar muscles of left hand;536;1
538;Left opponens digiti minimi;Musc[3-2-5-1-2-2];7;Hypothenar muscles of left hand;536;1
539;Left abductor digiti minimi;Musc[3-2-5-1-2-3];7;Hypothenar muscles of left hand;536;1
540;Left palmaris brevis;Musc[3-2-5-1-2-4];7;Hypothenar muscles of left hand;536;1
541;Palmar interosseous muscles of left hand;Musc[3-2-5-1-3];6;Palmar muscles of left hand;530;0
542;First palmar interosseous muscle of left hand;Musc[3-2-5-1-3-1];7;Palmar interosseous muscles of left hand;541;1
543;Second palmar interosseous muscle of left hand;Musc[3-2-5-1-3-2];7;Palmar interosseous muscles of left hand;541;1
544;Third palmar interosseous muscle of left hand;Musc[3-2-5-1-3-3];7;Palmar interosseous muscles of left hand;541;1
545;Lumbrical muscles of left hand;Musc[3-2-5-1-4];6;Palmar muscles of left hand;530;0
546;First lumbrical muscle of left hand;Musc[3-2-5-1-4-1];7;Lumbrical muscles of left hand;545;1
547;Second lumbrical muscle of left hand;Musc[3-2-5-1-4-2];7;Lumbrical muscles of left hand;545;1
548;Third lumbrical muscle of left hand;Musc[3-2-5-1-4-3];7;Lumbrical muscles of left hand;545;1
549;Fourth lumbrical muscle of left hand;Musc[3-2-5-1-4-4];7;Lumbrical muscles of left hand;545;1
550;Dorsal interosseous muscles of left hand;Musc[3-2-5-2];5;Muscles of left hand;529;0
551;First dorsal interosseous muscle of left hand;Musc[3-2-5-2-1];6;Dorsal interosseous muscles of left hand;550;1
552;Second dorsal interosseous muscle of left hand;Musc[3-2-5-2-2];6;Dorsal interosseous muscles of left hand;550;1
553;Third dorsal interosseous muscle of left hand;Musc[3-2-5-2-3];6;Dorsal interosseous muscles of left hand;550;1
554;Fourth dorsal interosseous muscle of left hand;Musc[3-2-5-2-4];6;Dorsal interosseous muscles of left hand;550;1
555;Muscles of thorax;Musc[4];2;Muscular system;3;0
556;Diaphragm;Musc[4-1];3;Muscles of thorax;555;1
557;Levatores costarum;Musc[4-2];3;Muscles of thorax;555;0
558;Right levatores costarum;Musc[4-2-1];4;Levatores costarum;557;1
559;Left levatores costarum;Musc[4-2-2];4;Levatores costarum;557;1
560;Subcostales;Musc[4-3];3;Muscles of thorax;555;0
561;Right subcostales;Musc[4-3-1];4;Subcostales;560;1
562;Left subcostales;Musc[4-3-2];4;Subcostales;560;1
563;Transversus thoracis;Musc[4-4];3;Muscles of thorax;555;0
564;Left transversus thoracis;Musc[4-4-1];4;Transversus thoracis;563;1
565;Right transversus thoracis;Musc[4-4-2];4;Transversus thoracis;563;1
566;Intercostals;Musc[4-5];3;Muscles of thorax;555;0
567;External intercostals;Musc[4-5-1];4;Intercostals;566;0
568;Right external intercostals;Musc[4-5-1-1];5;External intercostals;567;1
569;Left external intercostals;Musc[4-5-1-2];5;External intercostals;567;1
570;Internal intercostals;Musc[4-5-2];4;Intercostals;566;0
571;Left internal intercostals;Musc[4-5-2-1];5;Internal intercostals;570;1
572;Right internal intercostals;Musc[4-5-2-2];5;Internal intercostals;570;1
573;Innermost intercostals;Musc[4-5-3];4;Intercostals;566;0
574;Right innermost intercostals;Musc[4-5-3-1];5;Innermost intercostals;573;1
575;Left innermost intercostals;Musc[4-5-3-2];5;Innermost intercostals;573;1
576;Muscles of abdomen;Musc[5];2;Muscular system;3;0
577;External oblique;Musc[5-1];3;Muscles of abdomen;576;0
578;Right external oblique;Musc[5-1-1];4;External oblique;577;1
579;Left external oblique;Musc[5-1-2];4;External oblique;577;1
580;Internal oblique;Musc[5-2];3;Muscles of abdomen;576;0
581;Right internal oblique;Musc[5-2-1];4;Internal oblique;580;1
582;Left internal oblique;Musc[5-2-2];4;Internal oblique;580;1
583;Cremaster;Musc[5-3];3;Muscles of abdomen;576;0
584;Right cremaster;Musc[5-3-1];4;Cremaster;583;1
585;Left cremaster;Musc[5-3-2];4;Cremaster;583;1
586;Transverse abdominis;Musc[5-4];3;Muscles of abdomen;576;0
587;Right transverse abdominis;Musc[5-4-1];4;Transverse abdominis;586;1
588;Left transverse abdominis;Musc[5-4-2];4;Transverse abdominis;586;1
589;Inguinal falx;Musc[5-5];3;Muscles of abdomen;576;0
590;Right inguinal falx;Musc[5-5-1];4;Inguinal falx;589;1
591;Left inguinal falx;Musc[5-5-2];4;Inguinal falx;589;1
592;Rectus abdominis;Musc[5-6];3;Muscles of abdomen;576;0
593;Right rectus abdominis;Musc[5-6-1];4;Rectus abdominis;592;1
594;Left rectus abdominis;Musc[5-6-2];4;Rectus abdominis;592;1
595;Pyramidalis;Musc[5-7];3;Muscles of abdomen;576;0
596;Right pyramidalis;Musc[5-7-1];4;Pyramidalis;595;1
597;Left pyramidalis;Musc[5-7-2];4;Pyramidalis;595;1
598;Quadratus lumborum;Musc[5-8];3;Muscles of abdomen;576;0
599;Right quadratus lumborum;Musc[5-8-1];4;Quadratus lumborum;598;1
600;Left quadratus lumborum;Musc[5-8-2];4;Quadratus lumborum;598;1
601;Muscles of pelvic floor and perineum;Musc[6];2;Muscular system;3;0
602;Muscles of pelvic floor;Musc[6-1];3;Muscles of pelvic floor and perineum;601;0
603;Coccygeus;Musc[6-1-1];4;Muscles of pelvic floor;602;0
604;Right coccygeus;Musc[6-1-1-1];5;Coccygeus;603;1
605;Left coccygeus;Musc[6-1-1-2];5;Coccygeus;603;1
606;Levator ani;Musc[6-1-2];4;Muscles of pelvic floor;602;0
607;Iliococcygeus;Musc[6-1-2-1];5;Levator ani;606;0
608;Left iliococcygeus;Musc[6-1-2-1-1];6;Iliococcygeus;607;1
609;Right iliococcygeus;Musc[6-1-2-1-2];6;Iliococcygeus;607;1
610;Pubococcygeus;Musc[6-1-2-2];5;Levator ani;606;0
611;Right pubococcygeus;Musc[6-1-2-2-1];6;Pubococcygeus;610;1
612;Left pubococcygeus;Musc[6-1-2-2-2];6;Pubococcygeus;610;1
613;Puborectalis;Musc[6-1-2-3];5;Levator ani;606;0
614;Right puborectalis;Musc[6-1-2-3-1];6;Puborectalis;613;1
615;Left puborectalis;Musc[6-1-2-3-2];6;Puborectalis;613;1
616;Tendinous arch of levator ani;Musc[6-1-2-4];5;Levator ani;606;0
617;Right tendinous arch of levator ani;Musc[6-1-2-4-1];6;Tendinous arch of levator ani;616;1
618;Left tendinous arch of levator ani;Musc[6-1-2-4-2];6;Tendinous arch of levator ani;616;1
619;Muscles of perineum;Musc[6-2];3;Muscles of pelvic floor and perineum;601;0
620;Superficial transverse perineal muscle;Musc[6-2-1];4;Muscles of perineum;619;0
621;Right superficial transverse perineal muscle;Musc[6-2-1-1];5;Superficial transverse perineal muscle;620;1
622;Left superficial transverse perineal muscle;Musc[6-2-1-2];5;Superficial transverse perineal muscle;620;1
623;Deep transverse perineal muscle;Musc[6-2-2];4;Muscles of perineum;619;0
624;Left deep transverse perineal muscle;Musc[6-2-2-1];5;Deep transverse perineal muscle;623;1
625;Right deep transverse perineal muscle;Musc[6-2-2-2];5;Deep transverse perineal muscle;623;1
626;External urethral sphincter;Musc[6-2-3];4;Muscles of perineum;619;1
627;Ischiocavernosus;Musc[6-2-4];4;Muscles of perineum;619;0
628;Right ischiocavernosus;Musc[6-2-4-1];5;Ischiocavernosus;627;1
629;Left ischiocavernosus;Musc[6-2-4-2];5;Ischiocavernosus;627;1
630;Bulbospongiosus muscle;Musc[6-2-5];4;Muscles of perineum;619;0
631;Left bulbospongiosus muscle;Musc[6-2-5-1];5;Bulbospongiosus muscle;630;1
632;Right bulbospongiosus muscle;Musc[6-2-5-2];5;Bulbospongiosus muscle;630;1
633;Muscles of anal sphincter;Musc[6-3];3;Muscles of pelvic floor and perineum;601;0
634;Corrugator cutis ani;Musc[6-3-1];4;Muscles of anal sphincter;633;1
635;External anal sphincter;Musc[6-3-2];4;Muscles of anal sphincter;633;1
636;Conjoined longitudinal anal sphincter;Musc[6-3-3];4;Muscles of anal sphincter;633;1
637;Internal anal sphincter;Musc[6-3-4];4;Muscles of anal sphincter;633;1
638;Muscles of lower limb;Musc[7];2;Muscular system;3;0
639;Muscles of right lower limb;Musc[7-1];3;Muscles of lower limb;638;0
640;Right iliopsoas;Musc[7-1-1];4;Muscles of right lower limb;639;0
641;Right iliacus;Musc[7-1-1-1];5;Right iliopsoas;640;1
642;Right psoas major;Musc[7-1-1-2];5;Right iliopsoas;640;1
643;Right psoas minor;Musc[7-1-1-3];5;Right iliopsoas;640;1
644;Right gluteal muscles;Musc[7-1-2];4;Muscles of right lower limb;639;0
645;Right tensor fasciae latae;Musc[7-1-2-1];5;Right gluteal muscles;644;1
646;Right iliotibial tract;Musc[7-1-2-2];5;Right gluteal muscles;644;1
647;Right gluteus maximus;Musc[7-1-2-3];5;Right gluteal muscles;644;1
648;Right gluteus medius;Musc[7-1-2-4];5;Right gluteal muscles;644;1
649;Right gluteus minimus;Musc[7-1-2-5];5;Right gluteal muscles;644;1
650;Lateral rotator muscles of right hip;Musc[7-1-3];4;Muscles of right lower limb;639;0
651;Right superior gemellus;Musc[7-1-3-1];5;Lateral rotator muscles of right hip;650;1
652;Right inferior gemellus;Musc[7-1-3-2];5;Lateral rotator muscles of right hip;650;1
653;Right quadratus femoris;Musc[7-1-3-3];5;Lateral rotator muscles of right hip;650;1
654;Right obturator externus;Musc[7-1-3-4];5;Lateral rotator muscles of right hip;650;1
655;Right obturator internus;Musc[7-1-3-5];5;Lateral rotator muscles of right hip;650;1
656;Right piriformis;Musc[7-1-3-6];5;Lateral rotator muscles of right hip;650;1
657;Muscles of right thigh;Musc[7-1-4];4;Muscles of right lower limb;639;0
658;Anterior compartment muscles of right thigh;Musc[7-1-4-1];5;Muscles of right thigh;657;0
659;Right sartorius;Musc[7-1-4-1-1];6;Anterior compartment muscles of right thigh;658;1
660;Right articularis genus;Musc[7-1-4-1-2];6;Anterior compartment muscles of right thigh;658;1
661;Right quadriceps femoris;Musc[7-1-4-1-3];6;Anterior compartment muscles of right thigh;658;0
662;Right vastus medialis;Musc[7-1-4-1-3-1];7;Right quadriceps femoris;661;1
663;Right vastus lateralis;Musc[7-1-4-1-3-2];7;Right quadriceps femoris;661;1
664;Right vastus intermedius;Musc[7-1-4-1-3-3];7;Right quadriceps femoris;661;1
665;Right rectus femoris;Musc[7-1-4-1-3-4];7;Right quadriceps femoris;661;1
666;Right quadriceps femoris tendon;Musc[7-1-4-1-3-5];7;Right quadriceps femoris;661;1
667;Posterior compartment muscles of right thigh;Musc[7-1-4-2];5;Muscles of right thigh;657;0
668;Right semimembranosus;Musc[7-1-4-2-1];6;Posterior compartment muscles of right thigh;667;1
669;Right semitendinosus;Musc[7-1-4-2-2];6;Posterior compartment muscles of right thigh;667;1
670;Right biceps femoris;Musc[7-1-4-2-3];6;Posterior compartment muscles of right thigh;667;1
671;Medial compartment muscles of right thigh;Musc[7-1-4-3];5;Muscles of right thigh;657;0
672;Right gracilis;Musc[7-1-4-3-1];6;Medial compartment muscles of right thigh;671;1
673;Right adductor longus;Musc[7-1-4-3-2];6;Medial compartment muscles of right thigh;671;1
674;Right adductor brevis;Musc[7-1-4-3-3];6;Medial compartment muscles of right thigh;671;1
675;Right pectineus;Musc[7-1-4-3-4];6;Medial compartment muscles of right thigh;671;1
676;Right adductor magnus;Musc[7-1-4-3-5];6;Medial compartment muscles of right thigh;671;1
677;Right adductor minimus;Musc[7-1-4-3-6];6;Medial compartment muscles of right thigh;671;1
678;Muscles of right lower leg;Musc[7-1-5];4;Muscles of right lower limb;639;0
679;Anterior compartment muscles of right lower leg;Musc[7-1-5-1];5;Muscles of right lower leg;678;0
680;Right tibialis anterior;Musc[7-1-5-1-1];6;Anterior compartment muscles of right lower leg;679;1
681;Right extensor hallucis longus;Musc[7-1-5-1-2];6;Anterior compartment muscles of right lower leg;679;1
682;Right extensor digitorum longus;Musc[7-1-5-1-3];6;Anterior compartment muscles of right lower leg;679;1
683;Right fibularis tertius;Musc[7-1-5-1-4];6;Anterior compartment muscles of right lower leg;679;1
684;Posterior compartment muscles of right lower leg;Musc[7-1-5-2];5;Muscles of right lower leg;678;0
685;Right gastrocnemius;Musc[7-1-5-2-1];6;Posterior compartment muscles of right lower leg;684;0
686;Lateral head of right gastrocnemius;Musc[7-1-5-2-1-1];7;Right gastrocnemius;685;1
687;Medial head of right gastrocnemius;Musc[7-1-5-2-1-2];7;Right gastrocnemius;685;1
688;Right plantaris;Musc[7-1-5-2-2];6;Posterior compartment muscles of right lower leg;684;1
689;Right soleus;Musc[7-1-5-2-3];6;Posterior compartment muscles of right lower leg;684;1
690;Right calcaneal tendon;Musc[7-1-5-2-4];6;Posterior compartment muscles of right lower leg;684;1
691;Right popliteus;Musc[7-1-5-2-5];6;Posterior compartment muscles of right lower leg;684;1
692;Right tibialis posterior;Musc[7-1-5-2-6];6;Posterior compartment muscles of right lower leg;684;1
693;Right flexor hallucis longus;Musc[7-1-5-2-7];6;Posterior compartment muscles of right lower leg;684;1
694;Right flexor digitorum longus;Musc[7-1-5-2-8];6;Posterior compartment muscles of right lower leg;684;1
695;Lateral compartment muscles of right lower leg;Musc[7-1-5-3];5;Muscles of right lower leg;678;0
696;Right fibularis longus;Musc[7-1-5-3-1];6;Lateral compartment muscles of right lower leg;695;1
697;Right fibularis brevis;Musc[7-1-5-3-2];6;Lateral compartment muscles of right lower leg;695;1
698;Muscles of right foot;Musc[7-1-6];4;Muscles of right lower limb;639;0
699;Plantar muscles of right foot;Musc[7-1-6-1];5;Muscles of right foot;698;0
700;Superficial plantar muscles of right foot;Musc[7-1-6-1-1];6;Plantar muscles of right foot;699;0
701;Right abductor hallucis;Musc[7-1-6-1-1-1];7;Superficial plantar muscles of right foot;700;1
702;Right flexor digitorum brevis;Musc[7-1-6-1-1-2];7;Superficial plantar muscles of right foot;700;1
703;Abductor digiti minimi of right foot;Musc[7-1-6-1-1-3];7;Superficial plantar muscles of right foot;700;1
704;Middle plantar muscles of right foot;Musc[7-1-6-1-2];6;Plantar muscles of right foot;699;0
705;Lumbrical muscles of right foot;Musc[7-1-6-1-2-1];7;Middle plantar muscles of right foot;704;0
706;First lumbrical muscle of right foot;Musc[7-1-6-1-2-1-1];8;Lumbrical muscles of right foot;705;1
707;Second lumbrical muscle of right foot;Musc[7-1-6-1-2-1-2];8;Lumbrical muscles of right foot;705;1
708;Third lumbrical muscle of right foot;Musc[7-1-6-1-2-1-3];8;Lumbrical muscles of right foot;705;1
709;Fourth lumbrical muscle of right foot;Musc[7-1-6-1-2-1-4];8;Lumbrical muscles of right foot;705;1
710;Right quadratus plantae;Musc[7-1-6-1-2-2];7;Middle plantar muscles of right foot;704;1
711;Deep plantar muscles of right foot;Musc[7-1-6-1-3];6;Plantar muscles of right foot;699;0
712;Right flexor hallucis brevis;Musc[7-1-6-1-3-1];7;Deep plantar muscles of right foot;711;0
713;Medial head of right flexor hallucis brevis;Musc[7-1-6-1-3-1-1];8;Right flexor hallucis brevis;712;1
714;Lateral head of right flexor hallucis brevis;Musc[7-1-6-1-3-1-2];8;Right flexor hallucis brevis;712;1
715;Right adductor hallucis;Musc[7-1-6-1-3-2];7;Deep plantar muscles of right foot;711;0
716;Right adductor hallucis oblique head;Musc[7-1-6-1-3-2-1];8;Right adductor hallucis;715;1
717;Right adductor hallucis transverse head;Musc[7-1-6-1-3-2-2];8;Right adductor hallucis;715;1
718;Plantar interosseous muscles of right foot;Musc[7-1-6-1-3-3];7;Deep plantar muscles of right foot;711;0
719;First plantar interosseous muscle of right foot;Musc[7-1-6-1-3-3-1];8;Plantar interosseous muscles of right foot;718;1
720;Second plantar interosseous muscle of right foot;Musc[7-1-6-1-3-3-2];8;Plantar interosseous muscles of right foot;718;1
721;Third plantar interosseous muscle of right foot;Musc[7-1-6-1-3-3-3];8;Plantar interosseous muscles of right foot;718;1
722;Right flexor digiti minimi brevis of foot;Musc[7-1-6-1-3-4];7;Deep plantar muscles of right foot;711;1
723;Dorsal muscles of right foot;Musc[7-1-6-2];5;Muscles of right foot;698;0
724;Superficial dorsal muscles of right foot;Musc[7-1-6-2-1];6;Dorsal muscles of right foot;723;0
725;Right extensor hallucis brevis;Musc[7-1-6-2-1-1];7;Superficial dorsal muscles of right foot;724;1
726;Right extensor digitorum brevis;Musc[7-1-6-2-1-2];7;Superficial dorsal muscles of right foot;724;1
727;Dorsal interosseous muscles of right foot;Musc[7-1-6-2-2];6;Dorsal muscles of right foot;723;0
728;First dorsal interosseus muscle of right foot;Musc[7-1-6-2-2-1];7;Dorsal interosseous muscles of right foot;727;1
729;Second dorsal interosseus muscle of right foot;Musc[7-1-6-2-2-2];7;Dorsal interosseous muscles of right foot;727;1
730;Third dorsal interosseus muscle of right foot;Musc[7-1-6-2-2-3];7;Dorsal interosseous muscles of right foot;727;1
731;Fourth dorsal interosseus muscle of right foot;Musc[7-1-6-2-2-4];7;Dorsal interosseous muscles of right foot;727;1
732;Muscles of left lower limb;Musc[7-2];3;Muscles of lower limb;638;0
733;Left iliopsoas;Musc[7-2-1];4;Muscles of left lower limb;732;0
734;Left iliacus;Musc[7-2-1-1];5;Left iliopsoas;733;1
735;Left psoas minor;Musc[7-2-1-2];5;Left iliopsoas;733;1
736;Left psoas major;Musc[7-2-1-3];5;Left iliopsoas;733;1
737;Left gluteal muscles;Musc[7-2-2];4;Muscles of left lower limb;732;0
738;Left tensor fasciae latae;Musc[7-2-2-1];5;Left gluteal muscles;737;1
739;Left iliotibial tract;Musc[7-2-2-2];5;Left gluteal muscles;737;1
740;Left gluteus maximus;Musc[7-2-2-3];5;Left gluteal muscles;737;1
741;Left gluteus medius;Musc[7-2-2-4];5;Left gluteal muscles;737;1
742;Left gluteus minimus;Musc[7-2-2-5];5;Left gluteal muscles;737;1
743;Lateral rotator muscles of left hip;Musc[7-2-3];4;Muscles of left lower limb;732;0
